Author,Best,杜禹明-华科-计科,杜禹明-华科-计算机,Gurobi9.1.1,于浩-吉林大学-软件,于浩-吉林大学-软件,于浩-吉林大学-软件,于浩-吉林大学-软件,于浩-吉林大学-软件,于浩-吉林大学-软件,于浩-吉林大学-软件,于浩-吉林大学-软件,于浩-吉林大学-软件,于浩-吉林大学-软件,于浩-吉林大学-软件,于浩-吉林大学-软件,王彦博-北交-计科,于浩-吉林大学-软件,王彦博-北交-计科,王彦博-北交-计科,王彦博-北交-计科,于浩-吉林大学-软件,于浩-吉林大学-软件,王晓衡-吉林大学-计算机,于浩-吉林大学-软件,于浩-吉林大学-软件,王晓衡-吉林大学-计算机,于浩-吉林大学-软件,千方遂-吉林大学-计算机科学与技术,彭伟轩-深圳大学-高等研究院,于浩-吉林大学-软件,于浩-吉林大学-软件,于浩-吉林大学-软件,于浩-吉林大学-软件,于浩-吉林大学-软件,靳博涵-哈工深-计科,黄意雯-西北工业大学-软件工程,于浩-吉林大学-软件,王天赐-华中科技大学-电子封装技术,黄意雯-西北工业大学-软件工程,王天赐-华中科技大学-电子封装技术,于浩-吉林大学-软件,李浩宇-北交大-计科,王天赐-华中科技大学-电子封装技术,李浩宇-北交大-计科,Gurobi9.1.1,王彦博-北交-计科,胡钰湄-华科-计算机,李浩宇-北交大-计科,黄意雯-西北工业大学-软件工程,黄意雯-西北工业大学-软件工程,黄意雯-西北工业大学-软件工程,黄意雯-西北工业大学-软件工程,杜禹明-华科-计科,杜禹明-华科-计科,杜禹明-华科-计科,Gurobi9.1.1,Gurobi9.1.1
Date,0,2022-08-22 17:46:27.394,2022,2022-09-09 19:19:35.593,2022-07-09 19:09:01.249,2022-07-15 11:47:01.153,2022-07-09 13:10:47.452,2022-06-03 23:52:01.550,2022-06-13 19:37:39.103,2022-06-14 00:08:40.736,2022-06-11 13:00:58.959,2022-06-09 17:28:32.803,2022-06-09 02:30:58.336,2022-06-08 20:51:38.436,2022-06-11 06:37:09.223,2022-06-08 16:12:33.488,2022-06-09 14:08:30.234,2022-06-13 00:20:24.238,2022-06-09 10:10:16.797,2022-06-07 11:27:20.037,2022-06-09 08:39:53.671,2022-06-12 22:25:08.479,2022-07-09 03:01:26.157,2022,2022-06-12 11:44:12.782,2022-07-08 00:04:46.491,2022-06-26 16:58:03.129,2022-06-12 01:18:23.226,2022-06-27 22:22:38.481,2022,2022-06-03 00:15:19.740,2022-06-03 13:56:16.186,2022-06-02 22:35:02.723,2022-05-29 22:47:22.485,2022-06-11 02:39:01.429,2022-06-21 20:08:28.159,2022-07-16 01:03:09.937,2022-06-08 00:33:18.354,2022-07-09 08:08:47.171,2022-07-15 21:51:10.837,2022-06-24 17:05:27.691,2022,2022-06-29 16:59:00.029,2022,2022-06-28 10:55:00.818,2022-09-08 21:58:41.311,2022-06-08 20:51:38.808,2022-06-15 00:13:13.593,2022-06-28 13:30:37.852,2022-07-13 02:28:25.867,2022-07-15 19:35:14.564,2022-07-15 20:50:35.268,2022-07-15 21:05:52.088,2022-08-22 16:45:23.703,2022-08-22 17:00:43.986,2022-08-22 17:16:09.526,2022-09-07 19:32:46.862,2022-09-08 09:18:18.323
Score,0,0.00018938198346064012,0.2961421608113453,216886.54566483354,2009021.989149618,2009022.001141631,2009022.0138434558,2009061.6840141243,2009081.3663543426,2009081.6985556353,2009086.278470363,2009087.0116034327,2009088.1204156247,2009093.0039776238,2009093.372549201,2009093.9889343106,4639183.376264784,26309314.034056235,206795457.30243033,206795457.32682985,206795457.32828516,206795457.37648687,206795457.51468465,206795457.5427661,206795457.54914263,206795457.55580586,206795457.55822214,206795457.64337865,206795457.68714088,206795457.7695847,206795458.07333773,206795458.08452573,206795458.08881757,206795458.33765274,206795458.50353035,206795458.50427046,206795458.6972764,206795458.7280889,206795458.824839,206795459.25501856,206795459.9316223,206795460.5411119,206795461.77630648,206795461.7804796,215004209.36874118,1481382052.344708,1482610382.752222,1482610382.752222,1482610382.752222,1482610382.752222,1482610382.752222,1482610382.752222,1482610382.752222,1482610382.752222,1482610382.752222,1482610382.752222,1482610382.752222,1482610382.752222
pardalos.n50e100.txt,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n50e150.txt,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,10,9,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n50e200.txt,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n50e250.txt,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n50e300.txt,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n50e500.txt,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,28,28,29,28,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,28,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n50e600.txt,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,31,31,32,31,32,32,31,31,31,31,31,31,32,31,31,32,31,31,31,31,32,31,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n50e700.txt,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n50e800.txt,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,36,34,34,36,34,36,34,34,34,34,34,34,34,34,34,34,36,34,34,34,34,35,34,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n50e900.txt,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,38,36,36,38,36,38,36,36,36,36,36,36,36,36,36,36,37,36,36,36,36,37,36,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n100e200.txt,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,9,10,10,9,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n100e300.txt,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,19,18,19,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n100e400.txt,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,26,23,23,23,23,23,23,23,23,23,24,23,25,23,25,24,25,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n100e500.txt,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,32,32,32,32,32,32,32,32,32,32,32,33,32,34,34,34,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n100e600.txt,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,36,36,36,37,36,36,37,36,38,36,36,36,36,37,36,37,37,36,37,37,37,36,39,40,38,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n100e1000.txt,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,53,53,53,53,53,53,54,53,53,54,54,54,53,55,57,54,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n100e1100.txt,54,54,54,55,54,54,54,54,54,54,54,54,54,54,54,54,54,55,54,54,54,55,54,54,54,54,54,54,55,54,55,55,55,55,54,55,55,54,55,55,55,55,56,57,55,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n100e1200.txt,57,57,57,59,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,58,57,57,57,57,57,57,58,60,58,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n100e1300.txt,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,60,60,61,61,61,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n100e1400.txt,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,62,61,61,62,61,61,61,62,63,62,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n500e1000.txt,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,33,31,32,32,32,31,31,31,31,31,34,31,44,31,43,36,43,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n500e1500.txt,63,63,63,68,64,64,64,64,64,64,64,64,64,64,64,64,64,64,65,65,64,64,64,64,64,64,65,64,65,65,64,64,64,65,64,65,66,64,69,67,79,65,84,74,83,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n500e2000.txt,100,100,101,112,102,102,102,103,102,102,102,102,102,102,102,102,102,102,102,102,103,102,102,102,103,102,102,103,103,103,103,103,103,103,102,104,109,102,108,112,113,111,129,123,129,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n500e2500.txt,131,131,131,143,133,133,133,135,133,133,133,133,133,133,133,133,135,133,135,135,134,133,133,134,134,133,134,134,134,134,135,135,135,133,133,136,143,133,145,145,143,151,160,163,161,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n500e3000.txt,161,161,162,174,163,163,164,164,163,163,164,163,164,164,164,163,164,163,164,164,164,163,163,164,164,164,163,164,164,164,164,164,164,164,164,170,173,163,171,177,172,189,191,192,191,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n500e5000.txt,237,237,237,262,237,237,238,239,237,237,245,237,238,240,238,238,237,237,237,237,239,237,237,238,237,237,238,237,237,239,239,239,239,237,238,254,253,237,247,262,248,259,266,274,264,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n500e5500.txt,251,251,251,276,252,252,253,253,252,252,261,252,261,261,257,261,254,252,254,254,253,252,252,253,253,253,253,253,254,254,253,253,253,254,261,271,268,252,259,276,262,288,281,292,280,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n500e6000.txt,264,264,264,306,265,265,265,265,265,265,269,268,276,276,279,274,265,265,265,265,265,265,265,266,266,265,266,266,268,267,265,265,265,267,279,287,279,265,274,287,274,306,291,297,289,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n500e6500.txt,276,276,276,312,277,277,276,277,277,277,277,277,293,293,296,293,279,277,279,279,278,277,277,277,279,278,277,279,277,278,277,277,277,277,296,298,292,277,287,299,287,315,301,312,302,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n500e7000.txt,286,286,286,321,286,286,287,288,286,286,294,294,304,304,286,304,288,286,288,288,287,286,286,287,288,288,287,288,288,291,288,288,288,290,286,309,304,289,296,311,296,322,312,324,309,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n1000e3000.txt,127,127,127,140,129,129,129,136,131,131,147,143,152,171,166,171,132,130,132,132,133,136,129,139,133,130,139,131,131,133,136,136,136,138,145,136,146,141,145,148,165,162,189,154,186,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n1000e3500.txt,159,159,160,173,166,166,166,170,168,168,182,178,188,210,210,206,165,168,165,165,167,168,166,172,168,168,172,168,165,168,170,170,170,171,181,169,180,182,179,183,190,198,220,196,223,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n1000e4000.txt,189,189,192,221,196,196,196,203,201,200,213,217,222,241,240,250,196,197,196,196,197,197,196,201,201,198,202,201,200,199,203,203,203,208,213,203,219,211,216,222,229,241,252,244,253,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n1000e4500.txt,226,226,228,366,232,232,232,236,237,237,255,261,265,293,278,290,232,232,232,232,233,232,232,237,240,235,238,238,232,235,236,236,236,244,248,242,257,243,256,265,265,292,292,289,297,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n1000e5000.txt,255,255,257,334,265,265,265,271,272,272,286,301,295,323,324,327,264,266,264,264,263,266,265,272,272,268,271,272,265,266,271,269,269,274,277,274,291,284,295,297,297,320,329,324,331,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n1000e10000.txt,466,466,467,574,480,480,480,525,503,513,545,576,576,627,612,622,472,480,474,472,475,480,480,478,492,482,478,482,474,505,523,523,525,541,545,516,512,579,506,533,505,574,537,557,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n1000e15000.txt,578,578,579,691,591,591,591,652,636,627,667,705,704,737,737,739,584,591,585,583,586,589,591,591,600,593,591,597,584,626,652,663,663,679,665,642,622,732,612,647,612,739,641,660,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n1000e20000.txt,648,648,651,823,667,665,667,736,704,704,751,771,771,804,801,812,655,660,654,654,658,660,667,663,676,660,663,661,655,707,736,736,736,756,740,717,697,801,675,718,681,799,702,729,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n1000e25000.txt,698,698,698,853,710,714,712,789,759,749,795,821,821,846,839,847,701,711,700,704,704,711,710,713,716,714,713,714,704,756,789,789,789,808,797,767,741,843,723,765,724,835,748,771,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pardalos.n1000e30000.txt,737,737,738,873,754,754,754,823,799,799,831,847,847,873,870,871,744,748,743,742,743,748,754,752,757,748,752,749,746,801,823,823,823,837,828,803,782,875,759,798,761,857,784,800,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pace.h001.n1024e2103.txt,46,46,46,48,46,46,46,47,48,48,49,50,50,59,54,59,47,46,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pace.h003.n1024e3480.txt,38,38,38,38,38,38,38,38,38,38,38,38,38,41,40,41,38,38,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pace.h005.n843e3995.txt,235,235,235,235,236,236,236,238,242,242,247,252,252,266,266,266,236,236,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pace.h007.n2048e4096.txt,77,77,77,95,81,81,82,103,97,97,113,126,126,166,157,167,82,82,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
pace.h009.n1024e5231.txt,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,33,33,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000
