71	350 2918
12	20
20	12
12	24
24	12
12	41
41	12
12	43
43	12
20	24
24	20
20	42
42	20
24	38
38	24
24	42
42	24
24	52
52	24
24	56
56	24
38	42
42	38
38	43
43	38
41	43
43	41
41	52
52	41
42	43
43	42
42	52
52	42
43	68
68	43
52	68
68	52
56	68
68	56
2	5
5	2
2	47
47	2
2	51
51	2
2	54
54	2
2	69
69	2
5	47
47	5
5	61
61	5
5	69
69	5
5	70
70	5
23	51
51	23
23	54
54	23
23	61
61	23
23	70
70	23
26	47
47	26
26	49
49	26
26	61
61	26
26	69
69	26
26	70
70	26
47	51
51	47
47	70
70	47
49	69
69	49
49	70
70	49
51	69
69	51
61	69
69	61
3	6
6	3
3	8
8	3
3	10
10	3
3	16
16	3
3	21
21	3
3	30
30	3
6	10
10	6
6	30
30	6
6	39
39	6
6	46
46	6
8	10
10	8
8	16
16	8
8	30
30	8
8	46
46	8
10	16
16	10
10	46
46	10
16	46
46	16
21	30
30	21
21	39
39	21
21	46
46	21
30	46
46	30
7	11
11	7
7	18
18	7
7	29
29	7
7	35
35	7
7	55
55	7
7	57
57	7
9	11
11	9
9	17
17	9
9	57
57	9
11	17
17	11
11	19
19	11
17	19
19	17
17	29
29	17
17	35
35	17
17	37
37	17
18	19
19	18
18	37
37	18
19	29
29	19
19	55
55	19
29	55
55	29
29	57
57	29
35	37
37	35
35	55
55	35
37	55
55	37
37	57
57	37
13	15
15	13
13	31
31	13
13	33
33	13
13	45
45	13
13	60
60	13
13	66
66	13
15	34
34	15
15	45
45	15
15	60
60	15
31	33
33	31
31	45
45	31
31	66
66	31
33	34
34	33
33	60
60	33
33	66
66	33
34	36
36	34
36	45
45	36
36	66
66	36
4	14
14	4
4	22
22	4
4	28
28	4
4	40
40	4
4	44
44	4
14	22
22	14
14	40
40	14
14	44
44	14
22	28
28	22
22	44
44	22
28	40
40	28
28	44
44	28
27	50
50	27
27	63
63	27
27	65
65	27
50	58
58	50
50	64
64	50
50	67
67	50
53	58
58	53
53	63
63	53
53	64
64	53
58	63
63	58
58	65
65	58
58	67
67	58
63	64
64	63
64	65
65	64
0	1
1	0
0	59
59	0
1	25
25	1
1	59
59	1
1	62
62	1
25	32
32	25
25	48
48	25
25	62
62	25
32	59
59	32
48	59
59	48
59	62
62	59
3	46
46	3
3	69
69	3
3	14
14	3
3	66
66	3
7	15
15	7
7	42
42	7
7	63
63	7
7	12
12	7
7	17
17	7
7	66
66	7
7	67
67	7
12	42
42	12
14	28
28	14
14	32
32	14
14	15
15	14
14	48
48	14
14	66
66	14
15	63
63	15
17	47
47	17
17	66
66	17
28	46
46	28
32	62
62	32
32	63
63	32
32	66
66	32
42	69
69	42
42	47
47	42
47	69
69	47
48	62
62	48
63	66
66	63
63	67
67	63
66	69
69	66
0 48
1 37
1 66
1 31
1 63
1 25
1 52
1 46
1 17
1 14
1 59
1 32
1 64
1 48
1 62
1 7
1 3
1 12
1 45
1 55
1 58
1 15
1 67
2 59
2 21
2 24
2 44
2 51
2 17
2 67
2 70
2 55
2 29
2 5
2 64
2 31
2 60
2 15
2 41
2 37
2 57
2 45
2 48
2 43
2 46
2 40
2 14
2 38
2 63
2 69
2 66
2 47
2 26
2 42
2 9
2 7
2 8
2 33
2 58
2 12
2 10
2 35
2 52
2 28
2 20
2 49
2 3
2 4
2 22
2 11
2 30
3 64
3 20
3 5
3 24
3 31
3 70
3 62
3 65
3 10
3 12
3 49
3 50
3 13
3 9
3 1
3 52
3 19
3 36
3 46
3 33
3 55
3 63
3 22
3 17
3 7
3 21
3 4
3 23
3 32
3 30
3 54
3 53
3 26
3 38
3 40
3 29
3 48
3 67
3 8
3 57
3 16
3 45
3 35
3 43
3 51
3 59
3 37
3 39
3 28
3 58
3 2
3 15
3 66
3 41
3 47
3 11
3 42
3 60
3 61
3 44
3 69
3 69
3 69
3 14
3 6
4 70
4 29
4 52
4 33
4 5
4 7
4 34
4 17
4 9
4 11
4 69
4 57
4 49
4 44
4 67
4 31
4 47
4 41
4 48
4 60
4 45
4 37
4 64
4 20
4 28
4 58
4 3
4 63
4 12
4 42
4 10
4 40
4 62
4 21
4 51
4 35
4 13
4 66
4 46
4 8
4 14
4 26
4 59
4 55
4 32
4 15
4 30
4 2
4 24
4 22
5 59
5 35
5 44
5 47
5 8
5 60
5 21
5 66
5 17
5 48
5 30
5 22
5 3
5 28
5 63
5 41
5 20
5 46
5 70
5 64
5 26
5 2
5 37
5 11
5 9
5 4
5 24
5 69
5 51
5 14
5 55
5 10
5 61
5 57
5 12
5 45
5 7
5 49
5 67
5 33
5 40
5 52
5 42
5 43
5 38
5 15
6 46
6 14
6 16
6 40
6 41
6 3
6 69
7 21
7 46
7 48
7 65
7 8
7 67
7 67
7 67
7 50
7 14
7 24
7 51
7 10
7 62
7 2
7 49
7 69
7 69
7 43
7 18
7 1
7 44
7 60
7 5
7 36
7 63
7 63
7 3
7 22
7 66
7 31
7 55
7 23
7 39
7 64
7 32
7 32
7 56
7 37
7 37
7 19
7 16
7 15
7 35
7 20
7 17
7 34
7 12
7 53
7 30
7 70
7 29
7 47
7 59
7 26
7 52
7 4
7 40
7 38
7 11
7 13
7 58
